2024-03-25 11:57:48,559 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:48,887 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:49,544 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:49,872 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:50,528 INFO measurements: -0.75 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:50,856 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:51,512 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:51,840 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:52,497 INFO measurements: -0.75 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:52,825 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:53,481 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:54,139 INFO measurements: -0.73 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
2024-03-25 11:57:54,465 INFO measurements: -0.74 0.00 0.00 0.00                      targets: {'pitotTragetButton': 50.9, 'pitotRateTargetButton': 0.0, 'staticTargetButton': 0.0, 'staticRateTargetButton': 0.0}
